Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_62_197,VPWR,li1,97.9800,182.2400,1.798001
FILLER_62_195,VPWR,li1,95.4500,182.2400,1.798012
FILLER_62_163,VPWR,li1,83.2600,182.2400,1.798115
FILLER_62_151,VPWR,li1,77.7400,182.2400,1.798177
FILLER_62_141,VPWR,li1,70.6100,182.2400,1.798309
FILLER_62_132,VPWR,li1,68.0800,182.2400,1.798346
FILLER_62_109,VPWR,li1,56.3500,182.2400,1.798686
FILLER_62_97,VPWR,li1,52.9000,182.2400,1.798754
FILLER_62_85,VPWR,li1,47.3800,182.2400,1.798917
FILLER_62_83,VPWR,li1,43.9300,182.2400,1.799066
FILLER_62_77,VPWR,li1,42.3200,182.2400,1.799066
FILLER_62_65,VPWR,li1,38.1800,182.2400,1.799189
FILLER_62_53,VPWR,li1,32.6600,182.2400,1.799352
FILLER_62_41,VPWR,li1,27.1400,182.2400,1.799542
FILLER_62_29,VPWR,li1,21.6200,182.2400,1.799705
FILLER_62_27,VPWR,li1,18.1700,182.2400,1.799705
FILLER_62_15,VPWR,li1,15.1800,182.2400,1.799705
FILLER_62_3,VPWR,li1,9.6600,182.2400,1.799705
FILLER_61_386,VPWR,li1,183.5400,176.8000,1.799418
FILLER_61_374,VPWR,li1,180.3200,176.8000,1.799418
FILLER_61_281,VPWR,li1,135.0100,176.8000,1.798121
FILLER_61_265,VPWR,li1,129.2600,176.8000,1.798092
FILLER_61_207,VPWR,li1,102.5800,176.8000,1.798143
FILLER_61_195,VPWR,li1,97.9800,176.8000,1.798166
FILLER_61_185,VPWR,li1,90.8500,176.8000,1.798224
FILLER_61_181,VPWR,li1,89.7000,176.8000,1.798224
FILLER_61_169,VPWR,li1,86.0200,176.8000,1.798273
FILLER_61_147,VPWR,li1,75.9000,176.8000,1.798428
FILLER_61_135,VPWR,li1,70.3800,176.8000,1.798555
FILLER_61_125,VPWR,li1,63.2500,176.8000,1.798671
FILLER_61_113,VPWR,li1,60.2600,176.8000,1.798747
FILLER_61_111,VPWR,li1,56.8100,176.8000,1.798875
FILLER_61_105,VPWR,li1,55.2000,176.8000,1.798875
FILLER_61_93,VPWR,li1,51.0600,176.8000,1.798979
FILLER_61_81,VPWR,li1,45.5400,176.8000,1.799148
FILLER_61_69,VPWR,li1,40.0200,176.8000,1.799259
FILLER_61_57,VPWR,li1,34.5000,176.8000,1.799398
FILLER_61_55,VPWR,li1,31.0500,176.8000,1.799514
FILLER_61_51,VPWR,li1,29.9000,176.8000,1.799514
FILLER_61_39,VPWR,li1,26.2200,176.8000,1.799607
FILLER_61_27,VPWR,li1,20.7000,176.8000,1.799747
FILLER_61_15,VPWR,li1,15.1800,176.8000,1.799747
FILLER_61_3,VPWR,li1,9.6600,176.8000,1.799747
FILLER_60_387,VPWR,li1,183.7700,176.8000,1.799418
FILLER_60_381,VPWR,li1,182.1600,176.8000,1.799418
FILLER_60_363,VPWR,li1,172.7300,176.8000,1.799284
FILLER_60_344,VPWR,li1,164.2200,176.8000,1.798925
FILLER_60_305,VPWR,li1,146.5100,176.8000,1.798309
FILLER_60_250,VPWR,li1,120.9800,176.8000,1.798076
FILLER_60_242,VPWR,li1,118.6800,176.8000,1.798081
FILLER_60_230,VPWR,li1,114.0800,176.8000,1.798092
FILLER_60_218,VPWR,li1,108.5600,176.8000,1.798114
FILLER_60_206,VPWR,li1,103.0400,176.8000,1.798143
FILLER_60_173,VPWR,li1,85.7900,176.8000,1.798273
FILLER_60_141,VPWR,li1,73.1400,176.8000,1.798480
FILLER_60_137,VPWR,li1,69.2300,176.8000,1.798555
FILLER_60_109,VPWR,li1,57.5000,176.8000,1.798822
FILLER_60_97,VPWR,li1,52.9000,176.8000,1.798933
FILLER_60_85,VPWR,li1,47.3800,176.8000,1.799072
FILLER_60_83,VPWR,li1,43.9300,176.8000,1.799200
FILLER_60_77,VPWR,li1,42.3200,176.8000,1.799200
FILLER_60_65,VPWR,li1,38.1800,176.8000,1.799305
FILLER_60_53,VPWR,li1,32.6600,176.8000,1.799445
FILLER_60_41,VPWR,li1,27.1400,176.8000,1.799607
FILLER_60_29,VPWR,li1,21.6200,176.8000,1.799747
FILLER_60_27,VPWR,li1,18.1700,176.8000,1.799747
FILLER_60_15,VPWR,li1,15.1800,176.8000,1.799747
FILLER_60_3,VPWR,li1,9.6600,176.8000,1.799747
FILLER_59_385,VPWR,li1,183.3100,171.3600,1.799486
FILLER_59_377,VPWR,li1,180.7800,171.3600,1.799486
FILLER_59_337,VPWR,li1,161.0000,171.3600,1.798919
FILLER_59_281,VPWR,li1,136.1600,171.3600,1.798194
FILLER_59_277,VPWR,li1,133.6300,171.3600,1.798131
FILLER_59_269,VPWR,li1,131.1000,171.3600,1.798088
FILLER_59_257,VPWR,li1,124.4300,171.3600,1.797954
FILLER_59_249,VPWR,li1,121.9000,171.3600,1.797892
FILLER_59_237,VPWR,li1,117.3000,171.3600,1.797826
FILLER_59_225,VPWR,li1,109.7100,171.3600,1.797695
FILLER_59_218,VPWR,li1,107.1800,171.3600,1.797671
FILLER_59_189,VPWR,li1,93.1500,171.3600,1.797592
FILLER_59_181,VPWR,li1,90.6200,171.3600,1.797590
FILLER_59_162,VPWR,li1,81.4200,171.3600,1.797615
FILLER_59_141,VPWR,li1,70.6100,171.3600,1.797862
FILLER_59_135,VPWR,li1,69.0000,171.3600,1.797862
FILLER_59_113,VPWR,li1,58.4200,171.3600,1.798268
FILLER_59_111,VPWR,li1,56.8100,171.3600,1.798337
FILLER_59_105,VPWR,li1,55.2000,171.3600,1.798337
FILLER_59_93,VPWR,li1,51.0600,171.3600,1.798491
FILLER_59_81,VPWR,li1,45.5400,171.3600,1.798741
FILLER_59_69,VPWR,li1,40.0200,171.3600,1.798904
FILLER_59_57,VPWR,li1,34.5000,171.3600,1.799110
FILLER_59_55,VPWR,li1,31.0500,171.3600,1.799282
FILLER_59_51,VPWR,li1,29.9000,171.3600,1.799282
FILLER_59_39,VPWR,li1,26.2200,171.3600,1.799420
FILLER_59_27,VPWR,li1,20.7000,171.3600,1.799626
FILLER_59_15,VPWR,li1,15.1800,171.3600,1.799626
FILLER_59_3,VPWR,li1,9.6600,171.3600,1.799626
FILLER_58_387,VPWR,li1,183.7700,171.3600,1.799486
FILLER_58_379,VPWR,li1,181.7000,171.3600,1.799486
FILLER_58_362,VPWR,li1,172.5000,171.3600,1.799410
FILLER_58_328,VPWR,li1,156.8600,171.3600,1.798784
FILLER_58_298,VPWR,li1,143.2900,171.3600,1.798335
FILLER_58_277,VPWR,li1,133.1700,171.3600,1.798131
FILLER_58_273,VPWR,li1,132.0200,171.3600,1.798088
FILLER_58_250,VPWR,li1,120.9800,171.3600,1.797892
FILLER_58_242,VPWR,li1,118.6800,171.3600,1.797826
FILLER_58_218,VPWR,li1,106.7200,171.3600,1.797671
FILLER_58_197,VPWR,li1,96.3700,171.3600,1.797593
FILLER_58_195,VPWR,li1,95.4500,171.3600,1.797593
FILLER_58_187,VPWR,li1,93.3800,171.3600,1.797592
FILLER_58_141,VPWR,li1,71.7600,171.3600,1.797780
FILLER_58_136,VPWR,li1,69.0000,171.3600,1.797862
FILLER_58_115,VPWR,li1,58.6500,171.3600,1.798268
FILLER_58_109,VPWR,li1,57.0400,171.3600,1.798268
FILLER_58_97,VPWR,li1,52.9000,171.3600,1.798423
FILLER_58_85,VPWR,li1,47.3800,171.3600,1.798629
FILLER_58_83,VPWR,li1,43.9300,171.3600,1.798818
FILLER_58_77,VPWR,li1,42.3200,171.3600,1.798818
FILLER_58_65,VPWR,li1,38.1800,171.3600,1.798973
FILLER_58_53,VPWR,li1,32.6600,171.3600,1.799179
FILLER_58_41,VPWR,li1,27.1400,171.3600,1.799420
FILLER_58_29,VPWR,li1,21.6200,171.3600,1.799626
FILLER_58_27,VPWR,li1,18.1700,171.3600,1.799626
FILLER_58_15,VPWR,li1,15.1800,171.3600,1.799626
FILLER_58_3,VPWR,li1,9.6600,171.3600,1.799626
FILLER_57_384,VPWR,li1,183.0800,165.9200,1.798911
FILLER_57_372,VPWR,li1,179.4000,165.9200,1.798911
FILLER_57_279,VPWR,li1,134.0900,165.9200,1.796005
FILLER_57_275,VPWR,li1,132.9400,165.9200,1.796005
FILLER_57_254,VPWR,li1,122.5900,165.9200,1.795879
FILLER_57_222,VPWR,li1,108.1000,165.9200,1.795794
FILLER_57_199,VPWR,li1,97.7500,165.9200,1.795935
FILLER_57_187,VPWR,li1,94.3000,165.9200,1.796004
FILLER_57_160,VPWR,li1,80.9600,165.9200,1.796367
FILLER_57_139,VPWR,li1,69.6900,165.9200,1.796939
FILLER_57_133,VPWR,li1,68.0800,165.9200,1.796939
FILLER_57_111,VPWR,li1,56.8100,165.9200,1.797623
FILLER_57_105,VPWR,li1,55.2000,165.9200,1.797623
FILLER_57_93,VPWR,li1,51.0600,165.9200,1.797844
FILLER_57_81,VPWR,li1,45.5400,165.9200,1.798201
FILLER_57_69,VPWR,li1,40.0200,165.9200,1.798434
FILLER_57_57,VPWR,li1,34.5000,165.9200,1.798729
FILLER_57_55,VPWR,li1,31.0500,165.9200,1.798974
FILLER_57_51,VPWR,li1,29.9000,165.9200,1.798974
FILLER_57_39,VPWR,li1,26.2200,165.9200,1.799171
FILLER_57_27,VPWR,li1,20.7000,165.9200,1.799466
FILLER_57_15,VPWR,li1,15.1800,165.9200,1.799466
FILLER_57_3,VPWR,li1,9.6600,165.9200,1.799466
FILLER_56_385,VPWR,li1,183.3100,165.9200,1.798911
FILLER_56_377,VPWR,li1,180.7800,165.9200,1.798911
FILLER_56_365,VPWR,li1,176.1800,165.9200,1.798911
FILLER_56_362,VPWR,li1,172.5000,165.9200,1.798596
FILLER_56_327,VPWR,li1,156.4000,165.9200,1.797082
FILLER_56_313,VPWR,li1,149.7300,165.9200,1.796754
FILLER_56_309,VPWR,li1,148.5800,165.9200,1.796651
FILLER_56_295,VPWR,li1,141.9100,165.9200,1.796271
FILLER_56_261,VPWR,li1,125.8100,165.9200,1.795911
FILLER_56_253,VPWR,li1,123.7400,165.9200,1.795879
FILLER_56_248,VPWR,li1,120.5200,165.9200,1.795858
FILLER_56_238,VPWR,li1,115.2300,165.9200,1.795814
FILLER_56_234,VPWR,li1,114.0800,165.9200,1.795814
FILLER_56_206,VPWR,li1,100.5100,165.9200,1.795883
FILLER_56_193,VPWR,li1,94.9900,165.9200,1.796004
FILLER_56_141,VPWR,li1,72.2200,165.9200,1.796723
FILLER_56_139,VPWR,li1,69.6900,165.9200,1.796939
FILLER_56_135,VPWR,li1,68.5400,165.9200,1.796939
FILLER_56_125,VPWR,li1,63.2500,165.9200,1.797255
FILLER_56_121,VPWR,li1,62.1000,165.9200,1.797255
FILLER_56_109,VPWR,li1,58.4200,165.9200,1.797513
FILLER_56_97,VPWR,li1,52.9000,165.9200,1.797746
FILLER_56_85,VPWR,li1,47.3800,165.9200,1.798041
FILLER_56_83,VPWR,li1,43.9300,165.9200,1.798311
FILLER_56_77,VPWR,li1,42.3200,165.9200,1.798311
FILLER_56_65,VPWR,li1,38.1800,165.9200,1.798532
FILLER_56_53,VPWR,li1,32.6600,165.9200,1.798827
FILLER_56_41,VPWR,li1,27.1400,165.9200,1.799171
FILLER_56_29,VPWR,li1,21.6200,165.9200,1.799466
FILLER_56_27,VPWR,li1,18.1700,165.9200,1.799466
FILLER_56_15,VPWR,li1,15.1800,165.9200,1.799466
FILLER_56_3,VPWR,li1,9.6600,165.9200,1.799466
FILLER_55_386,VPWR,li1,183.5400,160.4800,1.799359
FILLER_55_374,VPWR,li1,180.3200,160.4800,1.799359
FILLER_55_337,VPWR,li1,161.0000,160.4800,1.798533
FILLER_55_323,VPWR,li1,154.5600,160.4800,1.798204
FILLER_55_303,VPWR,li1,146.7400,160.4800,1.797888
FILLER_55_281,VPWR,li1,135.2400,160.4800,1.797518
FILLER_55_258,VPWR,li1,125.1200,160.4800,1.797324
FILLER_55_246,VPWR,li1,121.4400,160.4800,1.797285
FILLER_55_234,VPWR,li1,115.9200,160.4800,1.797232
FILLER_55_220,VPWR,li1,107.6400,160.4800,1.797153
FILLER_55_208,VPWR,li1,101.4300,160.4800,1.797169
FILLER_55_204,VPWR,li1,100.2800,160.4800,1.797196
FILLER_55_178,VPWR,li1,88.7800,160.4800,1.797343
FILLER_55_160,VPWR,li1,80.9600,160.4800,1.797466
FILLER_55_148,VPWR,li1,73.8300,160.4800,1.797630
FILLER_55_125,VPWR,li1,63.7100,160.4800,1.797975
FILLER_55_113,VPWR,li1,60.2600,160.4800,1.798098
FILLER_55_111,VPWR,li1,56.8100,160.4800,1.798292
FILLER_55_105,VPWR,li1,55.2000,160.4800,1.798292
FILLER_55_93,VPWR,li1,51.0600,160.4800,1.798451
FILLER_55_81,VPWR,li1,45.5400,160.4800,1.798707
FILLER_55_69,VPWR,li1,40.0200,160.4800,1.798875
FILLER_55_57,VPWR,li1,34.5000,160.4800,1.799087
FILLER_55_55,VPWR,li1,31.0500,160.4800,1.799263
FILLER_55_51,VPWR,li1,29.9000,160.4800,1.799263
FILLER_55_39,VPWR,li1,26.2200,160.4800,1.799404
FILLER_55_27,VPWR,li1,20.7000,160.4800,1.799616
FILLER_55_15,VPWR,li1,15.1800,160.4800,1.799616
