net,length_um
net59,2.34011mm
net105,1.90332mm
systolic_inst.load_acc,1.89226mm
net106,1.757175mm
net107,1.722555mm
net108,1.665415mm
net60,1.65711mm
net112,1.56718mm
net71,1.548005mm
net111,1.53951mm
net110,1.49762mm
net109,1.48382mm
net136,1.412055mm
net139,1.37158mm
net113,1.36959mm
net131,1.358005mm
_11333_,1.35402mm
net152,1.269065mm
net153,1.261355mm
net148,1.2516mm
net145,1.244955mm
net147,1.2435mm
net138,1.23847mm
net144,1.23321mm
net142,1.23108mm
_00008_,1.22709mm
net146,1.21136mm
net140,1.20984mm
net61,1.20743mm
_11258_,1.20547mm
net150,1.191125mm
net72,1.139525mm
net137,1.126265mm
net149,1.095525mm
net133,1.05036mm
net70,1.03504mm
net134,1.024mm
net102,1.004175mm
_11713_,999.685µm
net135,997.13µm
net97,993.96µm
net83,968.1µm
net132,965.56µm
net63,960.485µm
net103,925.43µm
net119,923.2µm
net101,917.32µm
net122,895.775µm
net74,892.82µm
net99,892.79µm
net80,892.65µm
net104,888.155µm
net151,881.815µm
net125,879.53µm
net65,878.5µm
net100,878.16µm
net58,873.16µm
net73,868.14µm
net115,867.76µm
net67,864.49µm
net118,853.975µm
net123,853.89µm
net114,842.35µm
_11332_,841.75µm
net57,830.255µm
net143,829.3µm
net56,819.63µm
net55,817.96µm
net79,804.2µm
clknet_0_clk,799.81µm
net7,795.22µm
net127,786.25µm
net76,781.09µm
net141,774.28µm
net62,754.08µm
deser_A.serial_word_ready,750.36µm
net69,748.675µm
net98,736.13µm
net124,732.465µm
net129,727.09µm
net120,721.1µm
net78,712.67µm
net121,703.88µm
net66,697.845µm
net68,686.71µm
systolic_inst.ce_local,685.64µm
net116,684.83µm
net64,677.33µm
clk,672.52µm
_11712_,653.02µm
net128,645.1µm
_10643_,642.63µm
clknet_2_1_0_clk,624.3µm
net77,603.14µm
clknet_2_2_0_clk,602.23µm
net82,587.09µm
_11302_,583.115µm
clknet_2_0_0_clk,582.82µm
net5,582.43µm
clknet_2_3_0_clk,561.68µm
_10898_,551.37µm
deser_B.receiving,549.85µm
net117,536.36µm
net130,516.68µm
deser_A.receiving,503.675µm
net126,501.795µm
deser_B.serial_word_ready,484.77µm
net75,483.58µm
_11026_,476.46µm
net81,452.26µm
_00001_,430.525µm
clknet_5_4__leaf_clk,418.92µm
systolic_inst.row_loop\[0\].col_loop\[0\].pe_i.prod_reg\[15\],418.43µm
clknet_5_9__leaf_clk,417.935µm
clknet_5_26__leaf_clk,407.58µm
_10770_,403.44µm
clknet_5_22__leaf_clk,399.2µm
_00002_,396.735µm
