net,length_um
systolic_inst.row_loop\[2\].col_loop\[2\].pe_i.prod_reg\[15\],395.16µm
net6,394.79µm
clknet_5_1__leaf_clk,384.58µm
net94,383.535µm
clknet_5_5__leaf_clk,383.46µm
net92,382.7µm
systolic_inst.B_outs\[6\]\[0\],382.43µm
systolic_inst.row_loop\[1\].col_loop\[1\].pe_i.prod_reg\[15\],381.39µm
systolic_inst.B_outs\[3\]\[0\],380.285µm
clknet_5_13__leaf_clk,378.46µm
systolic_inst.B_outs\[3\]\[2\],377.56µm
systolic_inst.B_outs\[3\]\[1\],377.215µm
net86,376.6µm
clknet_5_7__leaf_clk,376.46µm
clknet_5_24__leaf_clk,376.23µm
clknet_5_12__leaf_clk,375.22µm
systolic_inst.B_outs\[6\]\[1\],367.59µm
net89,362.88µm
net85,354.34µm
clknet_5_23__leaf_clk,353.58µm
systolic_inst.B_outs\[2\]\[0\],352.7µm
net93,349.07µm
systolic_inst.row_loop\[0\].col_loop\[1\].pe_i.prod_reg\[15\],345.14µm
clknet_5_19__leaf_clk,343.77µm
clknet_5_27__leaf_clk,343.6µm
systolic_inst.B_outs\[2\]\[1\],342.84µm
systolic_inst.B_outs\[3\]\[3\],341.035µm
systolic_inst.A_outs\[0\]\[5\],338.35µm
clknet_5_11__leaf_clk,337.74µm
systolic_inst.row_loop\[2\].col_loop\[0\].pe_i.prod_reg\[15\],336.1µm
clknet_5_16__leaf_clk,334.26µm
clknet_5_10__leaf_clk,334.12µm
systolic_inst.A_outs\[0\]\[4\],331.71µm
systolic_inst.B_outs\[2\]\[3\],330.675µm
systolic_inst.B_outs\[2\]\[2\],329.21µm
systolic_inst.row_loop\[1\].col_loop\[2\].pe_i.prod_reg\[15\],329.01µm
clknet_5_8__leaf_clk,328.27µm
systolic_inst.row_loop\[3\].col_loop\[2\].pe_i.prod_reg\[15\],328.1µm
systolic_inst.row_loop\[3\].col_loop\[3\].pe_i.prod_reg\[15\],327.43µm
clknet_5_28__leaf_clk,325.59µm
net96,318.96µm
systolic_inst.B_outs\[3\]\[4\],317.1µm
clknet_5_18__leaf_clk,316.93µm
systolic_inst.A_outs\[9\]\[5\],316.595µm
systolic_inst.B_outs\[2\]\[5\],314.825µm
systolic_inst.row_loop\[0\].col_loop\[2\].pe_i.prod_reg\[15\],312.49µm
systolic_inst.B_outs\[2\]\[4\],312.32µm
clknet_5_3__leaf_clk,311.05µm
clknet_2_0__leaf_B_in_serial_clk,308.645µm
net84,303.6µm
systolic_inst.A_outs\[0\]\[6\],303.35µm
systolic_inst.row_loop\[1\].col_loop\[0\].pe_i.prod_reg\[15\],300.795µm
systolic_inst.B_outs\[0\]\[6\],300.63µm
systolic_inst.row_loop\[0\].col_loop\[3\].pe_i.prod_reg\[15\],300.52µm
systolic_inst.A_outs\[8\]\[1\],300.035µm
systolic_inst.row_loop\[2\].col_loop\[3\].pe_i.prod_reg\[15\],299.86µm
systolic_inst.A_outs\[4\]\[3\],299.32µm
clknet_5_15__leaf_clk,298.86µm
systolic_inst.A_outs\[5\]\[6\],297.655µm
clknet_5_14__leaf_clk,297.64µm
systolic_inst.A_outs\[9\]\[4\],295.84µm
clknet_5_29__leaf_clk,294.9µm
net91,292.49µm
clknet_5_17__leaf_clk,291.68µm
systolic_inst.A_outs\[1\]\[2\],291.26µm
systolic_inst.B_outs\[9\]\[0\],291.1µm
clknet_5_0__leaf_clk,290.78µm
systolic_inst.A_outs\[1\]\[1\],289.565µm
systolic_inst.row_loop\[3\].col_loop\[1\].pe_i.prod_reg\[15\],289.215µm
systolic_inst.A_outs\[4\]\[4\],288.315µm
systolic_inst.B_outs\[2\]\[6\],288.28µm
systolic_inst.B_outs\[9\]\[1\],286.26µm
systolic_inst.A_outs\[4\]\[0\],285.08µm
systolic_inst.row_loop\[2\].col_loop\[1\].pe_i.prod_reg\[15\],282.925µm
systolic_inst.A_outs\[0\]\[3\],282.225µm
systolic_inst.A_outs\[0\]\[2\],281.295µm
systolic_inst.A_outs\[5\]\[7\],280.04µm
systolic_inst.B_outs\[4\]\[0\],280.025µm
systolic_inst.row_loop\[1\].col_loop\[3\].pe_i.prod_reg\[15\],279.06µm
clknet_5_21__leaf_clk,279µm
systolic_inst.B_outs\[2\]\[7\],278.805µm
clknet_2_3__leaf_B_in_serial_clk,278.54µm
systolic_inst.B_outs\[0\]\[7\],277.405µm
systolic_inst.A_outs\[6\]\[6\],276.56µm
systolic_inst.A_outs\[9\]\[3\],276.15µm
systolic_inst.A_outs\[6\]\[4\],274.8µm
systolic_inst.A_outs\[8\]\[0\],270.73µm
systolic_inst.A_outs\[4\]\[2\],269.69µm
systolic_inst.A_outs\[8\]\[2\],267.935µm
systolic_inst.A_outs\[5\]\[2\],267.68µm
clknet_5_6__leaf_clk,267.58µm
systolic_inst.A_outs\[4\]\[1\],267.085µm
systolic_inst.A_outs\[1\]\[0\],266.24µm
clknet_5_20__leaf_clk,266.06µm
net95,265.97µm
systolic_inst.A_outs\[5\]\[0\],265.87µm
systolic_inst.A_outs\[6\]\[5\],265.5µm
clknet_2_2__leaf_A_in_serial_clk,263.98µm
systolic_inst.A_outs\[5\]\[5\],261.665µm
clknet_5_25__leaf_clk,261.54µm
systolic_inst.A_outs\[4\]\[5\],259.64µm
systolic_inst.A_outs\[6\]\[7\],258.86µm
systolic_inst.A_outs\[9\]\[6\],258.335µm
net16,257.27µm
systolic_inst.B_outs\[6\]\[2\],255.09µm
clknet_5_30__leaf_clk,255.04µm
systolic_inst.A_outs\[8\]\[4\],254.595µm
systolic_inst.B_outs\[0\]\[1\],253.47µm
systolic_inst.B_outs\[1\]\[1\],253.4µm
systolic_inst.row_loop\[3\].col_loop\[0\].pe_i.prod_reg\[15\],253.06µm
net47,251.94µm
net87,251.335µm
systolic_inst.A_outs\[1\]\[5\],251.205µm
systolic_inst.B_outs\[9\]\[3\],250.3µm
systolic_inst.A_outs\[4\]\[7\],249.58µm
systolic_inst.A_outs\[5\]\[1\],248.115µm
systolic_inst.B_outs\[0\]\[5\],248.06µm
clknet_2_1__leaf_B_in_serial_clk,248.06µm
clknet_2_2__leaf_B_in_serial_clk,247.96µm
systolic_inst.A_outs\[1\]\[6\],247.875µm
_00003_,247.77µm
clknet_5_2__leaf_clk,247.76µm
systolic_inst.B_outs\[6\]\[4\],246.385µm
systolic_inst.B_outs\[10\]\[1\],245.585µm
systolic_inst.A_outs\[9\]\[2\],244.845µm
systolic_inst.A_outs\[8\]\[3\],244.43µm
systolic_inst.A_outs\[4\]\[6\],244.285µm
systolic_inst.B_outs\[9\]\[6\],244.215µm
systolic_inst.B_outs\[0\]\[3\],243.95µm
systolic_inst.A_outs\[1\]\[3\],242.855µm
systolic_inst.B_outs\[1\]\[3\],240.93µm
systolic_inst.B_outs\[3\]\[5\],240.24µm
systolic_inst.B_outs\[0\]\[0\],240.15µm
systolic_inst.B_outs\[3\]\[6\],239.41µm
systolic_inst.A_outs\[8\]\[7\],239.04µm
systolic_inst.A_outs\[9\]\[7\],238.98µm
A_in_valid,238.82µm
systolic_inst.B_outs\[4\]\[3\],237.84µm
systolic_inst.B_outs\[0\]\[4\],236.52µm
systolic_inst.B_outs\[9\]\[2\],235.985µm
systolic_inst.A_outs\[6\]\[1\],235.59µm
systolic_inst.A_outs\[13\]\[7\],234.62µm
systolic_inst.B_outs\[9\]\[7\],234.145µm
systolic_inst.A_outs\[5\]\[3\],233.705µm
clknet_2_0__leaf_A_in_serial_clk,232.9µm
systolic_inst.B_outs\[4\]\[1\],231.82µm
systolic_inst.B_outs\[1\]\[0\],231.715µm
systolic_inst.B_outs\[9\]\[4\],230.795µm
systolic_inst.A_outs\[6\]\[2\],230.095µm
systolic_inst.B_outs\[10\]\[3\],229.65µm
systolic_inst.A_outs\[1\]\[4\],229.02µm
systolic_inst.A_outs\[1\]\[7\],228.635µm
clknet_5_31__leaf_clk,228.6µm
systolic_inst.A_outs\[14\]\[3\],227.995µm
systolic_inst.A_outs\[12\]\[0\],227.23µm
systolic_inst.B_outs\[6\]\[3\],227.04µm
systolic_inst.A_outs\[8\]\[6\],224.895µm
systolic_inst.A_outs\[13\]\[3\],224.865µm
systolic_inst.A_outs\[9\]\[1\],224.795µm
net1,224.71µm
systolic_inst.B_outs\[10\]\[2\],224.02µm
systolic_inst.B_outs\[4\]\[2\],223.9µm
net2,223.78µm
net26,222.845µm
systolic_inst.B_outs\[5\]\[3\],222.8µm
net36,222.78µm
systolic_inst.B_outs\[5\]\[0\],222.26µm
systolic_inst.B_outs\[13\]\[5\],221.705µm
clknet_2_1__leaf_A_in_serial_clk,221.12µm
systolic_inst.B_outs\[11\]\[0\],220.87µm
systolic_inst.B_outs\[1\]\[2\],220.635µm
systolic_inst.B_shift\[3\]\[0\],220.4µm
systolic_inst.B_outs\[8\]\[0\],219.23µm
net31,218.54µm
systolic_inst.A_outs\[3\]\[2\],218.425µm
systolic_inst.A_outs\[3\]\[1\],217.58µm
systolic_inst.A_outs\[12\]\[4\],217.275µm
systolic_inst.A_outs\[8\]\[5\],217.175µm
systolic_inst.B_outs\[5\]\[4\],216.88µm
systolic_inst.A_outs\[13\]\[5\],216.845µm
systolic_inst.A_outs\[12\]\[6\],214.305µm
systolic_inst.B_outs\[8\]\[1\],213.74µm
net14,213.74µm
systolic_inst.B_shift\[3\]\[1\],213.42µm
systolic_inst.B_outs\[7\]\[7\],212.965µm
net33,211.48µm
systolic_inst.B_outs\[10\]\[0\],211.14µm
systolic_inst.B_outs\[0\]\[2\],211.1µm
net19,211.02µm
systolic_inst.B_outs\[7\]\[2\],210.355µm
systolic_inst.A_outs\[5\]\[4\],209.875µm
systolic_inst.B_outs\[5\]\[1\],209.3µm
net49,208.74µm
systolic_inst.B_outs\[10\]\[7\],208.62µm
systolic_inst.A_outs\[12\]\[2\],207.395µm
systolic_inst.B_outs\[10\]\[4\],207.215µm
systolic_inst.A_outs\[6\]\[3\],207.125µm
net37,206.86µm
systolic_inst.A_outs\[0\]\[7\],205.32µm
clknet_0_A_in_serial_clk,204.86µm
systolic_inst.A_outs\[13\]\[1\],204.795µm
systolic_inst.A_outs\[3\]\[4\],203.935µm
systolic_inst.B_outs\[10\]\[6\],203.385µm
systolic_inst.B_outs\[14\]\[2\],203.26µm
systolic_inst.A_outs\[9\]\[0\],203.19µm
systolic_inst.A_outs\[3\]\[0\],202.96µm
systolic_inst.B_outs\[11\]\[2\],202.94µm
net50,202.54µm
systolic_inst.B_outs\[1\]\[6\],202.38µm
systolic_inst.B_outs\[11\]\[1\],201.7µm
systolic_inst.B_outs\[1\]\[4\],201.48µm
systolic_inst.A_outs\[10\]\[4\],200.93µm
systolic_inst.A_outs\[0\]\[1\],200.74µm
systolic_inst.B_outs\[11\]\[3\],200.305µm
systolic_inst.B_outs\[7\]\[0\],199.74µm
systolic_inst.B_outs\[9\]\[5\],199.21µm
systolic_inst.B_outs\[8\]\[2\],199.08µm
systolic_inst.A_outs\[14\]\[7\],198.22µm
systolic_inst.B_outs\[3\]\[7\],197.835µm
net52,197.79µm
systolic_inst.A_outs\[14\]\[4\],197.395µm
systolic_inst.B_outs\[1\]\[5\],196.7µm
clknet_2_3__leaf_A_in_serial_clk,196.7µm
systolic_inst.A_outs\[7\]\[0\],196.415µm
net53,196.14µm
systolic_inst.B_outs\[5\]\[2\],196.1µm
systolic_inst.A_outs\[13\]\[2\],195.98µm
systolic_inst.B_outs\[14\]\[0\],195.34µm
net12,194.48µm
net43,194.35µm
B_in_serial_clk,193.97µm
systolic_inst.A_outs\[10\]\[1\],192.5µm
systolic_inst.A_outs\[3\]\[3\],192.26µm
systolic_inst.A_outs\[14\]\[6\],192.16µm
clknet_0_B_in_serial_clk,191.82µm
net88,191.72µm
systolic_inst.A_outs\[12\]\[5\],190.495µm
net41,190.12µm
systolic_inst.B_outs\[14\]\[3\],189.3µm
systolic_inst.A_outs\[15\]\[7\],189.18µm
systolic_inst.B_outs\[6\]\[5\],189.055µm
systolic_inst.A_outs\[12\]\[1\],188.79µm
_10505_,188.475µm
net45,187.59µm
net23,187.52µm
net51,187.26µm
systolic_inst.B_outs\[11\]\[5\],186.84µm
systolic_inst.A_outs\[13\]\[4\],186.81µm
systolic_inst.B_outs\[12\]\[2\],185.91µm
systolic_inst.B_outs\[14\]\[4\],185.82µm
systolic_inst.A_outs\[11\]\[3\],184.98µm
systolic_inst.A_outs\[0\]\[0\],184.89µm
systolic_inst.B_outs\[15\]\[3\],183.55µm
net11,183.19µm
net90,182.64µm
net42,181.91µm
systolic_inst.B_outs\[4\]\[4\],181.24µm
net27,180.68µm
systolic_inst.B_outs\[11\]\[4\],179.98µm
net32,179.94µm
systolic_inst.B_outs\[8\]\[6\],179.505µm
net21,179.48µm
systolic_inst.B_outs\[7\]\[4\],178.485µm
ser_C.shift_reg\[0\],178.2µm
systolic_inst.A_outs\[10\]\[0\],177.9µm
systolic_inst.B_outs\[7\]\[3\],177.58µm
A_in_serial_clk,176.49µm
systolic_inst.A_outs\[11\]\[2\],176.38µm
net24,176.1µm
net44,175.96µm
systolic_inst.B_outs\[8\]\[3\],175.47µm
systolic_inst.A_outs\[10\]\[7\],174.4µm
net25,174.1µm
systolic_inst.A_outs\[14\]\[5\],173.875µm
net46,173.54µm
net39,172.98µm
systolic_inst.B_outs\[14\]\[1\],172.88µm
net22,172.76µm
net28,172.58µm
systolic_inst.A_outs\[11\]\[7\],172.17µm
systolic_inst.B_outs\[5\]\[5\],171.25µm
systolic_inst.B_outs\[4\]\[6\],171.12µm
systolic_inst.A_outs\[10\]\[3\],170.63µm
systolic_inst.A_outs\[10\]\[2\],170.485µm
systolic_inst.A_outs\[10\]\[5\],170.07µm
systolic_inst.A_outs\[14\]\[2\],170.015µm
systolic_inst.B_outs\[5\]\[7\],169.835µm
systolic_inst.A_outs\[7\]\[4\],169.73µm
systolic_inst.A_outs\[11\]\[4\],169.235µm
systolic_inst.B_outs\[7\]\[6\],168.465µm
systolic_inst.B_outs\[14\]\[6\],168.46µm
systolic_inst.B_outs\[8\]\[5\],168.43µm
systolic_inst.A_outs\[6\]\[0\],168.32µm
net40,168.31µm
systolic_inst.A_outs\[3\]\[5\],167.775µm
systolic_inst.A_outs\[12\]\[3\],167.61µm
systolic_inst.B_outs\[7\]\[5\],167.54µm
systolic_inst.B_outs\[7\]\[1\],167.29µm
net34,167.28µm
systolic_inst.A_outs\[13\]\[6\],166.735µm
clknet_leaf_30_A_in_serial_clk,166.42µm
systolic_inst.B_outs\[15\]\[1\],165.13µm
net15,164.32µm
systolic_inst.B_outs\[4\]\[5\],163.74µm
net30,163µm
systolic_inst.B_outs\[13\]\[2\],162.57µm
systolic_inst.B_outs\[10\]\[5\],162.34µm
net13,161.7µm
net48,161.56µm
systolic_inst.B_shift\[3\]\[2\],161.5µm
systolic_inst.B_outs\[15\]\[6\],160.98µm
systolic_inst.A_outs\[12\]\[7\],160.11µm
systolic_inst.B_outs\[12\]\[3\],159.97µm
systolic_inst.A_outs\[10\]\[6\],159.18µm
systolic_inst.A_outs\[2\]\[4\],159.09µm
net18,158.68µm
systolic_inst.B_outs\[8\]\[4\],158.555µm
net20,158.24µm
systolic_inst.A_outs\[3\]\[6\],158.21µm
systolic_inst.B_outs\[8\]\[7\],157.79µm
systolic_inst.A_outs\[15\]\[6\],157.725µm
systolic_inst.B_outs\[11\]\[6\],157.155µm
systolic_inst.B_outs\[14\]\[5\],157.04µm
systolic_inst.A_outs\[2\]\[6\],156.455µm
systolic_inst.B_outs\[15\]\[0\],156.2µm
net29,155.06µm
systolic_inst.A_outs\[13\]\[0\],155.05µm
net54,154.7µm
systolic_inst.A_outs\[14\]\[1\],154.4µm
systolic_inst.B_outs\[5\]\[6\],154.305µm
systolic_inst.A_outs\[7\]\[3\],154.015µm
systolic_inst.B_outs\[1\]\[7\],152.7µm
systolic_inst.A_outs\[2\]\[5\],150.995µm
systolic_inst.B_outs\[15\]\[7\],150.84µm
systolic_inst.A_outs\[2\]\[2\],149.525µm
clknet_leaf_28_A_in_serial_clk,149.32µm
systolic_inst.B_outs\[15\]\[4\],149.04µm
systolic_inst.A_outs\[11\]\[6\],148.62µm
_11279_,148.295µm
systolic_inst.A_outs\[14\]\[0\],148.25µm
systolic_inst.A_outs\[2\]\[7\],147.53µm
systolic_inst.B_outs\[12\]\[1\],147.53µm
systolic_inst.B_outs\[15\]\[2\],146.485µm
systolic_inst.B_outs\[14\]\[7\],146.145µm
systolic_inst.A_outs\[2\]\[3\],145.925µm
systolic_inst.B_outs\[12\]\[0\],145.42µm
systolic_inst.A_outs\[2\]\[1\],144.41µm
systolic_inst.A_outs\[11\]\[5\],144.39µm
systolic_inst.A_outs\[7\]\[2\],143.725µm
systolic_inst.B_shift\[15\]\[6\],143.44µm
systolic_inst.A_outs\[11\]\[1\],143.33µm
systolic_inst.B_outs\[15\]\[5\],143.22µm
systolic_inst.A_outs\[7\]\[5\],143.04µm
clknet_leaf_8_A_in_serial_clk,142.86µm
clknet_leaf_27_A_in_serial_clk,141.44µm
systolic_inst.A_outs\[7\]\[1\],139.975µm
_10303_,138.88µm
clknet_leaf_181_clk,138.6µm
systolic_inst.B_outs\[12\]\[6\],138.485µm
systolic_inst.A_outs\[15\]\[2\],137.82µm
clknet_leaf_10_B_in_serial_clk,137.26µm
systolic_inst.A_outs\[7\]\[7\],136.42µm
systolic_inst.A_outs\[15\]\[4\],136.38µm
systolic_inst.B_outs\[12\]\[5\],135.755µm
systolic_inst.B_outs\[12\]\[7\],135.475µm
clknet_leaf_18_B_in_serial_clk,135.32µm
systolic_inst.B_outs\[12\]\[4\],135.095µm
systolic_inst.B_outs\[13\]\[0\],134.92µm
systolic_inst.A_outs\[15\]\[5\],134.75µm
clknet_leaf_6_A_in_serial_clk,132.68µm
_00005_,132.115µm
systolic_inst.B_outs\[6\]\[6\],131.795µm
_10962_,131.18µm
systolic_inst.B_outs\[13\]\[6\],131.015µm
clknet_leaf_204_clk,130.88µm
clknet_leaf_215_clk,130.59µm
systolic_inst.B_outs\[13\]\[4\],129.465µm
clknet_leaf_5_A_in_serial_clk,129.08µm
systolic_inst.A_outs\[7\]\[6\],128.215µm
systolic_inst.B_outs\[13\]\[3\],128.2µm
_07639_,128.16µm
_10738_,127.98µm
clknet_leaf_145_clk,127.8µm
systolic_inst.A_outs\[3\]\[7\],126.32µm
systolic_inst.B_shift\[3\]\[3\],125.5µm
systolic_inst.A_outs\[15\]\[3\],124.975µm
systolic_inst.B_shift\[3\]\[4\],124.46µm
systolic_inst.B_shift\[2\]\[7\],124.24µm
systolic_inst.A_outs\[2\]\[0\],123.265µm
clknet_leaf_16_B_in_serial_clk,122.52µm
clknet_leaf_19_A_in_serial_clk,122.4µm
clknet_leaf_13_A_in_serial_clk,122.08µm
clknet_leaf_8_B_in_serial_clk,122.055µm
clknet_leaf_6_B_in_serial_clk,121.98µm
systolic_inst.B_shift\[15\]\[7\],121.58µm
systolic_inst.B_outs\[13\]\[1\],121.36µm
clknet_leaf_21_A_in_serial_clk,121.14µm
clknet_leaf_0_A_in_serial_clk,120.795µm
clknet_leaf_15_A_in_serial_clk,120.54µm
clknet_leaf_187_clk,118.18µm
systolic_inst.B_outs\[4\]\[7\],117.86µm
clknet_leaf_4_A_in_serial_clk,117.71µm
clknet_leaf_130_clk,117.56µm
_11260_,116.8µm
ser_C.shift_reg\[416\],116.635µm
_07640_,116.33µm
_04983_,116.295µm
systolic_inst.B_shift\[10\]\[6\],115.84µm
systolic_inst.B_outs\[11\]\[7\],114.96µm
systolic_inst.B_outs\[13\]\[7\],114.765µm
clknet_leaf_12_A_in_serial_clk,114.32µm
clknet_leaf_1_A_in_serial_clk,113.88µm
clknet_leaf_309_clk,113.78µm
systolic_inst.A_outs\[11\]\[0\],113.045µm
clknet_leaf_342_clk,112.92µm
clknet_leaf_16_A_in_serial_clk,112.54µm
systolic_inst.B_shift\[11\]\[3\],112.42µm
clknet_leaf_11_A_in_serial_clk,112.38µm
clknet_leaf_247_clk,112.36µm
clknet_leaf_172_clk,112.24µm
clknet_leaf_332_clk,111.96µm
clknet_leaf_154_clk,111.81µm
systolic_inst.A_outs\[15\]\[1\],111.58µm
_11306_,111.54µm
clknet_leaf_333_clk,111.5µm
_10499_,111.06µm
_10282_,111.04µm
clknet_leaf_23_A_in_serial_clk,110.75µm
clknet_leaf_34_clk,110.54µm
net17,110.105µm
clknet_leaf_165_clk,109.825µm
clknet_leaf_330_clk,109.74µm
clknet_leaf_11_B_in_serial_clk,109.105µm
clknet_leaf_184_clk,108.92µm
_11090_,108.52µm
clknet_leaf_9_B_in_serial_clk,107.87µm
clknet_leaf_23_B_in_serial_clk,107.56µm
clknet_leaf_15_B_in_serial_clk,107.42µm
clknet_leaf_35_clk,107.28µm
clknet_leaf_26_B_in_serial_clk,107.18µm
clknet_leaf_17_A_in_serial_clk,107.06µm
clknet_leaf_20_A_in_serial_clk,107.02µm
clknet_leaf_304_clk,105.95µm
net4,105.9µm
clknet_leaf_25_A_in_serial_clk,105.88µm
systolic_inst.B_outs\[6\]\[7\],105.825µm
clknet_leaf_312_clk,105.82µm
clknet_leaf_14_B_in_serial_clk,105.82µm
clknet_leaf_168_clk,105.67µm
net38,105.04µm
clknet_leaf_39_clk,105.02µm
deser_A.shift_reg\[63\],104.62µm
clknet_leaf_12_B_in_serial_clk,104.5µm
_11058_,104.3µm
clknet_leaf_2_B_in_serial_clk,103.92µm
clknet_leaf_229_clk,103.82µm
clknet_leaf_106_clk,103.62µm
_11272_,103.48µm
clknet_leaf_24_clk,103.48µm
clknet_leaf_179_clk,103.08µm
clknet_leaf_14_A_in_serial_clk,103.01µm
clknet_leaf_194_clk,102.92µm
clknet_leaf_29_A_in_serial_clk,102.84µm
clknet_leaf_346_clk,102.78µm
clknet_leaf_228_clk,102.26µm
clknet_leaf_31_B_in_serial_clk,102µm
clknet_leaf_311_clk,101.98µm
net3,101.505µm
clknet_leaf_325_clk,101.455µm
clknet_leaf_24_A_in_serial_clk,101.42µm
_11277_,101.36µm
clknet_leaf_111_clk,100.56µm
clknet_leaf_271_clk,100.12µm
clknet_leaf_32_clk,100µm
clknet_leaf_347_clk,99.86µm
net35,99.73µm
clknet_leaf_1_B_in_serial_clk,98.85µm
systolic_inst.B_shift\[3\]\[7\],98.84µm
clknet_leaf_7_B_in_serial_clk,98.76µm
clknet_leaf_19_clk,98.7µm
systolic_inst.A_outs\[15\]\[0\],98.16µm
clknet_leaf_202_clk,98µm
clknet_leaf_198_clk,97.44µm
systolic_inst.B_shift\[15\]\[4\],96.98µm
clknet_leaf_241_clk,96.56µm
clknet_leaf_28_B_in_serial_clk,96.38µm
clknet_leaf_9_A_in_serial_clk,96.26µm
clknet_leaf_110_clk,96.24µm
clknet_leaf_108_clk,96.02µm
clknet_leaf_0_B_in_serial_clk,96µm
systolic_inst.row_loop\[0\].col_loop\[1\].pe_i.prod_reg\[14\],95.94µm
clknet_leaf_10_A_in_serial_clk,95.915µm
clknet_leaf_25_B_in_serial_clk,95.9µm
clknet_leaf_225_clk,95.855µm
clknet_leaf_287_clk,95.68µm
clknet_leaf_268_clk,95.46µm
clknet_leaf_230_clk,95.23µm
clknet_leaf_218_clk,95.2µm
clknet_leaf_262_clk,95.06µm
clknet_leaf_63_clk,94.46µm
_10500_,94.4µm
clknet_leaf_40_clk,94.36µm
clknet_leaf_161_clk,94.32µm
clknet_leaf_126_clk,93.92µm
systolic_inst.B_shift\[3\]\[5\],93.9µm
clknet_leaf_192_clk,93.82µm
clknet_leaf_2_A_in_serial_clk,93.81µm
clknet_leaf_155_clk,93.76µm
clknet_leaf_24_B_in_serial_clk,93.67µm
clknet_leaf_5_B_in_serial_clk,93.6µm
clknet_leaf_7_A_in_serial_clk,92.48µm
clknet_leaf_22_B_in_serial_clk,92.35µm
clknet_leaf_288_clk,91.76µm
clknet_leaf_32_B_in_serial_clk,91.3µm
_10501_,90.96µm
clknet_leaf_112_clk,90.42µm
clknet_leaf_319_clk,90.2µm
clknet_leaf_299_clk,89.93µm
clknet_leaf_57_clk,89.9µm
clknet_leaf_297_clk,89.8µm
systolic_inst.B_shift\[3\]\[6\],89.78µm
_07098_,89.66µm
_10255_,89.52µm
clknet_leaf_19_B_in_serial_clk,89.36µm
clknet_leaf_315_clk,88.865µm
clknet_leaf_256_clk,88.66µm
systolic_inst.row_loop\[0\].col_loop\[0\].pe_i.prod_reg\[9\],88.46µm
clknet_leaf_97_clk,88.3µm
deser_A.shift_reg\[31\],88.17µm
clknet_leaf_93_clk,88.14µm
clknet_leaf_338_clk,87.66µm
clknet_leaf_121_clk,87.38µm
clknet_leaf_107_clk,87.32µm
_11274_,87.21µm
clknet_leaf_70_clk,87.12µm
clknet_leaf_232_clk,86.96µm
_10539_,86.88µm
clknet_leaf_4_B_in_serial_clk,86.77µm
ser_C.shift_reg\[176\],86.7µm
clknet_leaf_291_clk,86.68µm
clknet_leaf_314_clk,86.58µm
clknet_leaf_337_clk,86.44µm
clknet_leaf_98_clk,86.12µm
clknet_leaf_211_clk,85.82µm
_10502_,85.72µm
clknet_leaf_135_clk,85.58µm
clknet_leaf_142_clk,85.52µm
