Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_242_1429,VPWR,li1,664.2400,671.8400,1.800000
FILLER_242_1425,VPWR,li1,661.7100,671.8400,1.800000
FILLER_242_1413,VPWR,li1,658.2600,671.8400,1.800000
FILLER_242_1401,VPWR,li1,652.7400,671.8400,1.800000
FILLER_242_1397,VPWR,li1,648.8300,671.8400,1.800000
FILLER_242_1385,VPWR,li1,645.3800,671.8400,1.800000
FILLER_242_1373,VPWR,li1,639.8600,671.8400,1.800000
FILLER_242_1369,VPWR,li1,635.9500,671.8400,1.800000
FILLER_242_1357,VPWR,li1,632.5000,671.8400,1.800000
FILLER_242_1345,VPWR,li1,626.9800,671.8400,1.800000
FILLER_242_1341,VPWR,li1,623.0700,671.8400,1.800000
FILLER_242_1329,VPWR,li1,619.6200,671.8400,1.800000
FILLER_242_1317,VPWR,li1,614.1000,671.8400,1.800000
FILLER_242_1313,VPWR,li1,610.1900,671.8400,1.800000
FILLER_242_1301,VPWR,li1,606.7400,671.8400,1.800000
FILLER_242_1289,VPWR,li1,601.2200,671.8400,1.800000
FILLER_242_1285,VPWR,li1,597.3100,671.8400,1.800000
FILLER_242_1273,VPWR,li1,593.8600,671.8400,1.800000
FILLER_242_1261,VPWR,li1,588.3400,671.8400,1.800000
FILLER_242_1257,VPWR,li1,584.4300,671.8400,1.800000
FILLER_242_1245,VPWR,li1,580.9800,671.8400,1.800000
FILLER_242_1233,VPWR,li1,575.4600,671.8400,1.800000
FILLER_242_1229,VPWR,li1,571.5500,671.8400,1.800000
FILLER_242_1217,VPWR,li1,568.1000,671.8400,1.800000
FILLER_242_1205,VPWR,li1,562.5800,671.8400,1.800000
FILLER_242_1201,VPWR,li1,558.6700,671.8400,1.800000
FILLER_242_1189,VPWR,li1,555.2200,671.8400,1.800000
FILLER_242_1177,VPWR,li1,549.7000,671.8400,1.800000
FILLER_242_1173,VPWR,li1,545.7900,671.8400,1.800000
FILLER_242_1161,VPWR,li1,542.3400,671.8400,1.800000
FILLER_242_1149,VPWR,li1,536.8200,671.8400,1.800000
FILLER_242_1145,VPWR,li1,532.9100,671.8400,1.800000
FILLER_242_1133,VPWR,li1,529.4600,671.8400,1.800000
FILLER_242_1121,VPWR,li1,523.9400,671.8400,1.800000
FILLER_242_1117,VPWR,li1,520.0300,671.8400,1.800000
FILLER_242_1105,VPWR,li1,516.5800,671.8400,1.800000
FILLER_242_1093,VPWR,li1,511.0600,671.8400,1.800000
FILLER_242_1089,VPWR,li1,507.1500,671.8400,1.800000
FILLER_242_1077,VPWR,li1,503.7000,671.8400,1.800000
