Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_242_1429,VGND,li1,664.2400,669.1200,0.000000
FILLER_242_1425,VGND,li1,661.7100,669.1200,0.000000
FILLER_242_1413,VGND,li1,658.2600,669.1200,0.000000
FILLER_242_1401,VGND,li1,652.7400,669.1200,0.000000
FILLER_242_1397,VGND,li1,648.8300,669.1200,0.000000
FILLER_242_1385,VGND,li1,645.3800,669.1200,0.000000
FILLER_242_1373,VGND,li1,639.8600,669.1200,0.000000
FILLER_242_1369,VGND,li1,635.9500,669.1200,0.000000
FILLER_242_1357,VGND,li1,632.5000,669.1200,0.000000
FILLER_242_1345,VGND,li1,626.9800,669.1200,0.000000
FILLER_242_1341,VGND,li1,623.0700,669.1200,0.000000
FILLER_242_1329,VGND,li1,619.6200,669.1200,0.000000
FILLER_242_1317,VGND,li1,614.1000,669.1200,0.000000
FILLER_242_1313,VGND,li1,610.1900,669.1200,0.000000
FILLER_242_1301,VGND,li1,606.7400,669.1200,0.000000
FILLER_242_1289,VGND,li1,601.2200,669.1200,0.000000
FILLER_242_1285,VGND,li1,597.3100,669.1200,0.000000
FILLER_242_1273,VGND,li1,593.8600,669.1200,0.000000
FILLER_242_1261,VGND,li1,588.3400,669.1200,0.000000
FILLER_242_1257,VGND,li1,584.4300,669.1200,0.000000
FILLER_242_1245,VGND,li1,580.9800,669.1200,0.000000
FILLER_242_1233,VGND,li1,575.4600,669.1200,0.000000
FILLER_242_1229,VGND,li1,571.5500,669.1200,0.000000
FILLER_242_1217,VGND,li1,568.1000,669.1200,0.000000
FILLER_242_1205,VGND,li1,562.5800,669.1200,0.000000
FILLER_242_1201,VGND,li1,558.6700,669.1200,0.000000
FILLER_242_1189,VGND,li1,555.2200,669.1200,0.000000
FILLER_242_1177,VGND,li1,549.7000,669.1200,0.000000
FILLER_242_1173,VGND,li1,545.7900,669.1200,0.000000
FILLER_242_1161,VGND,li1,542.3400,669.1200,0.000000
FILLER_242_1149,VGND,li1,536.8200,669.1200,0.000000
FILLER_242_1145,VGND,li1,532.9100,669.1200,0.000000
FILLER_242_1133,VGND,li1,529.4600,669.1200,0.000000
FILLER_242_1121,VGND,li1,523.9400,669.1200,0.000000
FILLER_242_1117,VGND,li1,520.0300,669.1200,0.000000
FILLER_242_1105,VGND,li1,516.5800,669.1200,0.000000
FILLER_242_1093,VGND,li1,511.0600,669.1200,0.000000
FILLER_242_1089,VGND,li1,507.1500,669.1200,0.000000
FILLER_242_1077,VGND,li1,503.7000,669.1200,0.000000
FILLER_242_1065,VGND,li1,498.1800,669.1200,0.000000
FILLER_242_1061,VGND,li1,494.2700,669.1200,0.000000
FILLER_242_1049,VGND,li1,490.8200,669.1200,0.000000
FILLER_242_1037,VGND,li1,485.3000,669.1200,0.000000
FILLER_242_1033,VGND,li1,481.3900,669.1200,0.000000
FILLER_242_1021,VGND,li1,477.9400,669.1200,0.000000
FILLER_242_1009,VGND,li1,472.4200,669.1200,0.000000
FILLER_242_1005,VGND,li1,468.5100,669.1200,0.000000
FILLER_242_993,VGND,li1,465.0600,669.1200,0.000000
FILLER_242_981,VGND,li1,459.5400,669.1200,0.000000
FILLER_242_977,VGND,li1,455.6300,669.1200,0.000000
FILLER_242_965,VGND,li1,452.1800,669.1200,0.000000
FILLER_242_953,VGND,li1,446.6600,669.1200,0.000000
FILLER_242_949,VGND,li1,442.7500,669.1200,0.000000
FILLER_242_937,VGND,li1,439.3000,669.1200,0.000000
FILLER_242_925,VGND,li1,433.7800,669.1200,0.000000
FILLER_242_921,VGND,li1,429.8700,669.1200,0.000000
FILLER_242_909,VGND,li1,426.4200,669.1200,0.000000
FILLER_242_897,VGND,li1,420.9000,669.1200,0.000000
FILLER_242_893,VGND,li1,416.9900,669.1200,0.000000
FILLER_242_881,VGND,li1,413.5400,669.1200,0.000000
FILLER_242_869,VGND,li1,408.0200,669.1200,0.000000
FILLER_242_865,VGND,li1,404.1100,669.1200,0.000000
FILLER_242_853,VGND,li1,400.6600,669.1200,0.000000
FILLER_242_841,VGND,li1,395.1400,669.1200,0.000000
FILLER_242_837,VGND,li1,391.2300,669.1200,0.000000
FILLER_242_825,VGND,li1,387.7800,669.1200,0.000000
FILLER_242_813,VGND,li1,382.2600,669.1200,0.000000
FILLER_242_809,VGND,li1,378.3500,669.1200,0.000000
