net,length_um
deser_A.kept_shift_reg\[6\],19.7µm
_0308_,19.62µm
systolic_inst.cycle_cnt\[18\],19.58µm
deser_B.kept_shift_reg\[13\],19.56µm
_0412_,19.52µm
systolic_inst.cycle_cnt\[11\],19.48µm
net21,19.38µm
deser_A.kept_shift_reg\[83\],19.36µm
_0358_,19.34µm
ser_C.bit_idx\[3\],19.34µm
_0408_,19.32µm
_0407_,19.28µm
deser_A.kept_shift_reg\[23\],19.28µm
deser_B.kept_shift_reg\[36\],19.26µm
deser_B.kept_shift_reg\[26\],19.22µm
deser_B.kept_shift_reg\[107\],19.2µm
_0483_,19.16µm
deser_A.kept_shift_reg\[105\],19.1µm
deser_B.kept_shift_reg\[108\],19.08µm
deser_A.kept_shift_reg\[4\],19.02µm
ser_C.kept_bit_idx\[4\],19.02µm
deser_B.kept_shift_reg\[79\],18.96µm
deser_B.kept_shift_reg\[28\],18.9µm
systolic_inst.cycle_cnt\[13\],18.9µm
deser_A.kept_shift_reg\[72\],18.82µm
deser_A.kept_shift_reg\[66\],18.76µm
deser_A.kept_shift_reg\[68\],18.74µm
deser_B.kept_shift_reg\[94\],18.62µm
_0363_,18.42µm
deser_B.kept_shift_reg\[86\],18.38µm
deser_A.kept_shift_reg\[76\],18.32µm
deser_B.kept_shift_reg\[112\],18.32µm
net499,18.32µm
deser_A.bit_idx\[1\],18.2µm
deser_A.kept_shift_reg\[50\],18.18µm
deser_B.kept_shift_reg\[124\],18.1µm
deser_B.kept_shift_reg\[12\],18.02µm
deser_A.kept_shift_reg\[115\],17.94µm
deser_B.kept_shift_reg\[80\],17.94µm
_0473_,17.86µm
_0433_,17.7µm
_0441_,17.68µm
deser_B.kept_shift_reg\[52\],17.66µm
deser_A.kept_bit_idx\[2\],17.64µm
deser_A.kept_bit_idx\[6\],17.52µm
_0186_,17.5µm
systolic_inst.cycle_cnt\[28\],17.48µm
deser_A.kept_shift_reg\[54\],17.4µm
_0413_,17.36µm
_0474_,17.34µm
deser_A.bit_idx\[6\],17.3µm
_0350_,17.2µm
_0417_,17.13µm
deser_B.kept_shift_reg\[9\],17.04µm
systolic_inst.cycle_cnt\[10\],17.04µm
_0522_,16.98µm
deser_B.kept_shift_reg\[48\],16.96µm
deser_A.kept_shift_reg\[37\],16.9µm
_0454_,16.86µm
deser_A.kept_shift_reg\[123\],16.86µm
deser_A.kept_shift_reg\[43\],16.64µm
deser_B.kept_shift_reg\[39\],16.56µm
deser_A.kept_shift_reg\[98\],16.44µm
deser_A.kept_shift_reg\[36\],16.36µm
deser_A.kept_shift_reg\[53\],16.33µm
systolic_inst.cycle_cnt\[3\],16.32µm
